retail_summary_key,retailer_product_key,brand_key,region_key,retailer_key,product_key,week_end_date,month_start_date,date_key,last_year_date,fisc_ly_date,greg_ly_date,gross_sales_ty,gross_sales_ly,gross_sales_fisc_ly,gross_sales_greg_ly,full_size_units_sold_ty,full_size_units_sold_ly,full_size_units_sold_fisc_ly,full_size_units_sold_greg_ly,oos_within_month_ty,oos_within_month_ly,oos_within_month_fisc_ly,oos_within_month_greg_ly,oos_percent_month_ty,oos_percent_month_ly,oos_percent_month_fisc_ly,oos_percent_month_greg_ly,oos_within_retail_month_ty,oos_within_retail_month_ly,oos_within_retail_month_fisc_ly,oos_within_retail_month_greg_ly,oos_percent_retail_month_ty,oos_percent_retail_month_ly,oos_percent_retail_month_fisc_ly,oos_percent_retail_month_greg_ly,unit_price_ty,unit_price_ly,unit_price_fisc_ly,unit_price_greg_ly,selling_price_ty,selling_price_ly,selling_price_fisc_ly,selling_price_greg_ly,health_score_ty,health_score_ly,health_score_fisc_ly,health_score_greg_ly,product_title_score_ty,product_title_score_ly,product_title_score_fisc_ly,product_title_score_greg_ly,product_description_score_ty,product_description_score_ly,product_description_score_fisc_ly,product_description_score_greg_ly,gallery_image_score_ty,gallery_image_score_ly,gallery_image_score_fisc_ly,gallery_image_score_greg_ly,keyword_analysis_score_ty,keyword_analysis_score_ly,keyword_analysis_score_fisc_ly,keyword_analysis_score_greg_ly,rating_score_ty,rating_score_ly,rating_score_fisc_ly,rating_score_greg_ly,review_score_ty,review_score_ly,review_score_fisc_ly,review_score_greg_ly,emerch_record_count_ty,emerch_record_count_ly,emerch_record_count_fisc_ly,emerch_record_count_greg_ly,sponsored_product_spend_ty,sponsored_product_spend_ly,sponsored_product_spend_fisc_ly,sponsored_product_spend_greg_ly,sponsored_product_sales_revenue_ty,sponsored_product_sales_revenue_ly,sponsored_product_sales_revenue_fisc_ly,sponsored_product_sales_revenue_greg_ly,sponsored_product_number_of_impressions_ty,sponsored_product_number_of_impressions_ly,sponsored_product_number_of_impressions_fisc_ly,sponsored_product_number_of_impressions_greg_ly,sponsored_product_number_of_clicks_ty,sponsored_product_number_of_clicks_ly,sponsored_product_number_of_clicks_fisc_ly,sponsored_product_number_of_clicks_greg_ly,sponsored_product_units_ty,sponsored_product_units_ly,sponsored_product_units_fisc_ly,sponsored_product_units_greg_ly,revenue_ty,revenue_ly,revenue_fisc_ly,revenue_greg_ly,units_ty,units_ly,units_fisc_ly,units_greg_ly,unit_conversion_ty,unit_conversion_ly,unit_conversion_fisc_ly,unit_conversion_greg_ly,traffic_conversion_rate_ty,traffic_conversion_rate_ly,traffic_conversion_rate_fisc_ly,traffic_conversion_rate_greg_ly,browse_traffic_ty,browse_traffic_ly,browse_traffic_fisc_ly,browse_traffic_greg_ly,pptraffic_ty,pptraffic_ly,pptraffic_fisc_ly,pptraffic_greg_ly,record_created_date,record_updated_date
9661d12b-4ddf-46d9-baee-ef295df2c02a,6cb7957d-3b8d-4a39-9827-b403ef5e1cea,302,103,204,PROD_1049,2024-01-05,2023-12-01,2023-12-31,2022-12-31,2022-12-31,2022-12-31,227.59,188.14674398999514,207.39470917984988,246.58900048970528,10,10,10,9,0,1,5,4,0.03248543226762326,0.022565155859711774,0.07171083841251624,0.013221606206418724,0,3,5,0,0.05321593456287417,0.08048958616370748,0.08457548900739426,0.01291944983456237,14.820354999155988,27.187456474238516,34.889770250384615,35.42235504488751,37.53710128452222,49.40032673645653,14.115450386890203,17.17082041606828,97,73,69,72,67,83,96,64,81,86,76,66,88,80,99,86,75,100,86,80,100,99,64,84,74,64,65,52,1,1,1,1,89.77909136340575,99.11213286316189,31.02408824202033,1.2346345842967787,273.28565151779384,270.8057984639398,142.51789282940103,19.859797885397047,147,623,768,1000,24,16,49,56,9.31446619002903,21.00429952052409,48.573797133574836,4.74799455776862,227.59,209.24606293972857,239.3125065945045,224.08700701960842,10,11,8,8,0.06801286617419273,0.06764557748571745,0.03716440505546258,0.029458975579771514,0.06428007676017797,0.03396115897412208,0.08863517564507783,0.06710438681472343,81.61663909626137,0.8451838235691289,61.14285449072291,61.62969868649256,548.995965181162,179.6216620350524,349.47042522443803,546.1019223697119,2025-11-20 22:10:07.061249,2025-11-20 22:10:07.061252
f7799020-9138-4f4c-b37f-ca1b20c08858,4c06764a-63f1-4b82-a64f-670334a1275c,302,104,204,PROD_1007,2023-10-27,2023-10-01,2023-10-23,2022-10-23,2022-10-23,2022-10-23,997.86,1106.373440156891,1038.837982331453,1181.198128128633,32,25,30,30,0,5,4,1,0.0085499051169319,0.021142132151259166,0.017646821411993696,0.03477318963156496,1,1,4,3,0.050481529953677176,0.04576275550389013,0.0023502461794465026,0.0897226279085782,19.20678165632635,46.29104161339964,24.605124646260876,14.197628940459452,26.29087931717411,14.534943005814922,49.6442258415085,39.264309385786476,53,52,65,70,96,83,96,94,71,72,100,75,53,95,87,66,89,86,86,87,81,65,85,80,85,89,77,98,1,1,1,1,99.53912020463078,34.6680278347853,4.977069789116095,90.98704438033383,446.4064628021651,30.399186023179702,241.69329912376543,345.3374727230058,970,166,124,575,77,60,98,68,18.251666009067062,5.962880472179933,3.933026733109707,34.502703881402965,997.86,982.7875624141986,944.2070261697446,1005.7941991421251,32,32,26,33,0.05279645821014196,0.06864791456715573,0.08060916924145026,0.08789125708606821,0.0536478899360353,0.05814407744178062,0.04807369982150771,0.07132331278451569,48.18298985194582,75.63872885666174,84.44458843448557,7.39910016928248,691.904888240242,633.6311752771322,407.4566027573347,273.67486865469243,2025-11-20 22:10:07.061284,2025-11-20 22:10:07.061284
43c51e49-70d7-4011-b5f4-11441c33a421,464ebcc3-c3c6-43ad-9bd8-08e98e592feb,305,104,203,PROD_1043,2023-10-13,2023-10-01,2023-10-10,2022-10-10,2022-10-10,2022-10-10,730.32,616.6643898111862,631.1082114530739,857.057990194467,17,15,20,19,1,3,3,5,0.08628456824406318,0.07747711906975355,0.07287749696507867,0.07623502245163144,2,5,5,1,0.05816580507638763,0.024506171353651608,0.0009705592600571911,0.061839573065608194,27.14847402394112,21.439203189135885,22.085513279738965,31.102549894777525,45.276079967964826,36.6721595661582,23.386921949187077,44.91920733517941,84,91,83,87,65,75,87,91,63,94,62,79,52,77,87,60,76,62,94,86,65,64,92,67,96,95,70,87,1,1,1,1,91.3155512577984,78.52519295255418,31.76824968283861,47.52627132359307,75.65752640738094,450.7475399850552,469.00654051032114,241.83813556516455,853,387,302,274,46,54,64,60,33.1575382352992,38.912802006716326,44.76184525991247,10.147204853941998,730.32,760.3923182606176,601.669464253164,794.1551275179002,17,15,20,13,0.09171407288257523,0.07236235285210851,0.07237180738106574,0.02325391727813929,0.04906341839950632,0.04015786450125064,0.05739699437175866,0.08416418899381425,5.136057836442587,62.963010583826176,37.29234375027406,67.63455525085011,337.0419597090045,919.5983767138441,560.9203171411496,662.1166168286629,2025-11-20 22:10:07.061310,2025-11-20 22:10:07.061310
ff0ac900-8766-4a03-804c-a0deea4a9eb9,1fcd6d16-eff1-4c70-b13f-eab7452ce693,303,104,204,PROD_1034,2023-12-22,2023-12-01,2023-12-18,2022-12-18,2022-12-18,2022-12-18,967.68,943.5929415623992,1116.2791093259161,801.9715566473096,60,49,69,60,0,5,1,5,0.039355235317921594,0.0970726783554449,0.016150956397646864,0.012985907532953478,1,0,2,5,0.09290901576165395,0.035276132880984135,0.09459650621509476,0.059355791369392244,31.67434036984693,13.190632023552338,18.347258142561074,43.155828345206736,39.05778885942105,24.19422676839126,41.74892026721126,33.61577677368983,59,81,66,50,56,99,68,95,97,58,61,86,54,72,54,88,65,54,63,53,64,82,61,81,81,92,64,64,1,1,1,1,9.189591158550348,70.44926437095884,26.096569200055775,94.50769021583892,356.75849726209117,39.09385408858657,345.034981441842,299.3778001306672,205,692,524,572,81,41,19,3,23.487135869094732,38.1387910780701,3.5847514923757484,1.1603385133166,967.68,850.0692166967187,1052.81990796292,931.597145853701,60,70,50,53,0.02471633317583356,0.02344411934994905,0.043823635447607596,0.03188325677970464,0.04179129425575086,0.07479610655562197,0.027705918929108758,0.09831789224145229,30.28609972538684,82.73879917855236,77.12918856916443,23.78379554195774,700.2768312290424,798.3830771575821,241.32886271390083,886.9845107158079,2025-11-20 22:10:07.061333,2025-11-20 22:10:07.061333
6621098c-e21e-4c26-b38c-7f407b78356b,46290577-9c90-4af9-a47c-41aed357fde8,301,103,201,PROD_1048,2023-02-17,2023-02-01,2023-02-12,2022-02-12,2022-02-12,2022-02-12,631.47,743.4989455180701,540.718597854108,527.9827370727725,39,41,34,33,0,3,5,4,0.0814809912449857,0.07042730596127171,0.04027217931698362,0.0594421847919466,0,5,2,1,0.04596917378968216,0.04262032558581541,0.08901340687128109,0.049931481426193525,30.491297790421406,11.81141874904971,46.67920410002618,41.053663940475346,29.6070336241875,47.80203795534614,13.669625273832636,11.013716087789085,55,89,88,82,57,56,68,59,61,70,58,64,60,88,55,61,58,72,80,78,79,58,53,70,79,76,65,95,1,1,1,1,86.21918373611062,83.07684010755848,55.06647221408267,26.158756578800745,171.79108165915397,51.30667475884832,246.50523866850088,437.4619424691118,295,710,480,150,77,38,35,72,42.87527482699263,47.3526739915498,2.6986068069570712,43.153918012797476,631.47,612.7202153135762,629.1215047780296,522.0537933373738,39,36,42,43,0.014719960626402274,0.09978071695303224,0.042644676509072596,0.09220231933864777,0.05205959775525771,0.010908405981948732,0.0825441485440812,0.09943824156282298,53.02193109652706,67.5553485517502,81.09830701738723,99.3198179498173,520.3474738380147,997.7540205789434,515.6441610154434,766.4433835063571,2025-11-20 22:10:07.061356,2025-11-20 22:10:07.061356
b50972df-84ed-4a9c-aa3f-51f000351e98,a723cc77-b5ac-4347-8f81-2c4a85158833,305,103,202,PROD_1027,2023-06-09,2023-06-01,2023-06-05,2022-06-05,2022-06-05,2022-06-05,297.99,339.20688861134437,239.48868042917024,297.53027710139327,20,18,21,18,4,0,3,4,0.07410272657340967,0.08231702143908043,0.05891051991485289,0.028024326335302965,2,5,5,1,0.02645238023250479,0.04826528771904977,0.09148118486086587,0.07224113447469663,31.948157654748613,11.80220315870753,20.457199984377713,24.271753173135856,11.536453594172444,21.505936660788144,13.141016536832577,33.22243605195242,82,79,89,91,73,94,96,67,56,73,83,60,81,82,83,78,97,55,96,91,67,62,61,84,77,94,99,97,1,1,1,1,0.4387094457438456,10.707544014640124,75.98648797121605,20.619506814321753,472.27112634542397,261.42499827272434,382.96093829696144,225.1839515418067,745,538,762,602,62,10,94,32,17.86936583499455,8.152324902141512,49.921533558500954,5.439946397785245,297.99,348.9029467404898,290.0221092880021,265.26118628026387,20,22,16,17,0.07767944066075154,0.04355393798614028,0.03831586572412728,0.027212811741683322,0.013438676771435905,0.05628463762174407,0.09041977637040832,0.03423421236387578,67.13130835592236,46.38689684780164,53.69323256333004,99.06469102365315,675.9039149563731,795.330269478863,243.18453452526342,787.8618604673712,2025-11-20 22:10:07.061379,2025-11-20 22:10:07.061379
f012471e-b638-4f81-8178-e5f244db0b01,9afcfe3a-30ca-4aed-b2d5-4bfe78beea5d,301,101,204,PROD_1023,2023-02-03,2023-02-01,2023-02-01,2022-02-01,2022-02-01,2022-02-01,705.18,788.0518398263537,767.4382319496639,582.0617825089128,24,21,27,25,4,0,1,2,0.02568480033857843,0.07797870732503445,0.007538566205864895,0.004399180547183879,1,1,1,4,0.0544318291029021,0.061579939031645825,0.06918012101618534,0.061448253994939445,44.87964223329453,22.208819422392658,25.58689984770472,37.98235206765042,24.512357738169346,14.987624744366418,47.45662586392441,32.97444803600272,97,85,92,70,93,88,73,69,95,73,83,64,64,79,73,97,87,74,94,81,86,80,77,63,97,100,99,100,1,1,1,1,2.3491936273198566,69.787421909556,99.74125008475589,81.97096223259275,407.0221734883508,290.3887021590247,464.97104989584017,373.41536106734185,641,676,420,875,27,23,55,99,23.054349925927436,20.629009935771137,37.76990606166804,31.886401418966436,705.18,820.3882012287354,690.3832841460589,712.016422518564,24,24,21,28,0.06448745249000996,0.07166771863615885,0.09695005595770254,0.07318454739503753,0.07017803839052209,0.047642250073341635,0.053904853169139365,0.08383932775338084,37.370909836115786,32.01973055144125,47.18057859228486,65.18833956882295,978.3493646659294,903.1632924972907,915.8420106899011,773.1285176895381,2025-11-20 22:10:07.061401,2025-11-20 22:10:07.061401
289c9bd3-b15f-476d-b2c2-6b32ad56f74a,eb9cfd74-cd25-48d0-8b04-4c93e283679d,304,102,203,PROD_1002,2023-12-08,2023-12-01,2023-12-06,2022-12-06,2022-12-06,2022-12-06,499.43,479.3927582007874,404.6128296502446,537.1577488620046,15,17,17,17,0,0,4,1,0.07777996646303745,0.01835665589895501,0.054725971814291265,0.03595709224629221,3,2,3,4,0.009137686212509577,0.04814052947887083,0.06718861061207206,0.08412652481370582,35.70773997183704,13.04521694073513,40.06256096202774,49.79998959551536,26.175082402069698,49.274069313582814,40.461948247855716,12.28679224256162,74,73,88,98,62,51,55,72,63,67,80,100,54,64,92,79,80,90,62,88,50,99,92,91,64,58,68,83,1,1,1,1,63.3132244612074,17.972278691752862,84.21258459447827,55.257011627352966,195.25507650271052,25.2638446462356,107.53235816209306,431.1397729841448,725,363,989,18,50,47,1,23,46.54717196369306,35.02180449974507,47.22615521358227,7.4481509656428635,499.43,475.43582770207354,479.82571725217787,491.13912061950117,15,14,15,12,0.015494704978439137,0.057274238759755944,0.08692330264601353,0.09917357401052976,0.03114910478037604,0.047978456101552734,0.051762564666024004,0.038953945944026215,95.96235089934113,48.68210445315706,83.11617063192632,54.84119723136358,886.3896557619084,221.4015727452499,272.1712041290552,455.7998972951261,2025-11-20 22:10:07.061423,2025-11-20 22:10:07.061424
27099695-3beb-4ff0-81f8-c9b3d9080cd3,03cef270-5929-4bcc-9502-02fd2f2eefc0,304,104,206,PROD_1018,2023-11-24,2023-11-01,2023-11-22,2022-11-22,2022-11-22,2022-11-22,489.74,394.71349686510155,461.07775500510013,528.2486898341642,31,28,33,29,2,5,2,1,0.06952843815808006,0.04377486952120366,0.09584756326149207,0.08996791688214233,1,0,0,2,0.08152195057062822,0.0725771290433223,0.0399629018945184,0.09529887264861409,37.23715099298499,35.8250096973974,15.367559687192344,25.987587981589666,48.527451213039384,15.188706136733078,10.419413243789135,29.943160163965686,51,62,55,58,58,95,61,69,84,51,70,67,55,77,70,78,52,77,70,63,54,81,82,68,100,67,61,73,1,1,1,1,20.054098521902407,21.021741485290725,66.22067306739781,10.657833423705155,465.7428252445069,86.26286846466775,163.47032232484932,103.26912048121761,961,257,678,339,19,61,77,91,39.29160977758955,8.134169394034279,0.5412993802639987,47.450893771453245,489.74,577.9164547634259,457.648109440006,508.97476594206546,31,31,29,30,0.06483165072203063,0.0605477112828252,0.04033998546729227,0.09237855002615782,0.09579553148674012,0.0852542636551572,0.025269531956005217,0.08742625447790148,87.67089750821586,50.391964728952665,49.6445922044677,82.21979386834664,980.1975631908309,293.2071769061864,627.0339035491263,584.3080451347266,2025-11-20 22:10:07.061445,2025-11-20 22:10:07.061445
1bebd9eb-3e97-445b-b43f-d0bc95c814ff,27d63e6b-6cb9-430d-ac1e-20462afe2126,301,102,203,PROD_1020,2023-01-06,2023-01-01,2023-01-01,2022-01-01,2022-01-01,2022-01-01,237.75,273.3960516179688,230.92533306059087,239.7344995781499,9,8,8,7,5,0,1,4,0.016301694532958,0.0008720741979024394,0.0991593120146543,0.06743642164967417,3,5,0,1,0.0870372658529645,0.06137715088054512,0.0938254065965006,0.07425864460578399,46.33636586747881,31.239721328015744,32.65037531955751,29.89979722245863,23.149325218975065,49.713978868471166,42.15618158759784,40.27654406194593,86,86,96,90,59,62,84,82,86,89,76,63,56,85,90,58,87,90,61,84,68,56,53,68,99,76,82,52,1,1,1,1,63.39982023779627,67.9278079178111,86.84353113236986,60.52666195435138,5.374484390827217,377.94204679403396,174.85096016532515,150.64191759391244,915,48,279,893,9,53,49,1,22.436632727328217,23.62783308127629,0.018142795027686898,5.341402075067686,237.75,217.4387321425251,228.09685218617432,194.9314005829213,9,8,8,10,0.027951625826304477,0.0591496815356426,0.06050365325605957,0.08910083306856645,0.08747494872736836,0.07082414280790016,0.07515168606452262,0.07835212685354802,24.780444527330182,32.14304295188389,74.49078326396689,58.47950077336388,967.7293236144774,299.83961438489916,115.81148929218044,286.81229109630135,2025-11-20 22:10:07.061467,2025-11-20 22:10:07.061467
