region_key,retailer_key,date_key,gross_sales_ty,gross_sales_fiscly,gross_sales_gregly,retailer_mob_key,record_created_date,record_updated_date
1,1,2023-01-01,175093.93,0.0,0.0,1-2023-01-01,2025-11-22 14:39:13.683479,2025-11-22 14:39:13.683584
1,1,2023-01-02,138780.27,0.0,0.0,1-2023-01-02,2025-11-22 14:39:13.683479,2025-11-22 14:39:13.683584
1,1,2023-01-03,156010.73,0.0,0.0,1-2023-01-03,2025-11-22 14:39:13.683479,2025-11-22 14:39:13.683584
1,1,2023-01-04,145865.19,0.0,0.0,1-2023-01-04,2025-11-22 14:39:13.683479,2025-11-22 14:39:13.683584
1,1,2023-01-05,162518.42,0.0,0.0,1-2023-01-05,2025-11-22 14:39:13.683479,2025-11-22 14:39:13.683584
1,1,2023-01-06,161276.03,0.0,0.0,1-2023-01-06,2025-11-22 14:39:13.683479,2025-11-22 14:39:13.683584
1,1,2023-01-07,163146.34,0.0,0.0,1-2023-01-07,2025-11-22 14:39:13.683479,2025-11-22 14:39:13.683584
1,1,2023-01-08,141915.35,0.0,0.0,1-2023-01-08,2025-11-22 14:39:13.683479,2025-11-22 14:39:13.683584
1,1,2023-01-09,162213.88,0.0,0.0,1-2023-01-09,2025-11-22 14:39:13.683479,2025-11-22 14:39:13.683584
1,1,2023-01-10,141199.68,0.0,0.0,1-2023-01-10,2025-11-22 14:39:13.683479,2025-11-22 14:39:13.683584
1,1,2023-01-11,124690.34,0.0,0.0,1-2023-01-11,2025-11-22 14:39:13.683479,2025-11-22 14:39:13.683584
1,1,2023-01-12,134604.48,0.0,0.0,1-2023-01-12,2025-11-22 14:39:13.683479,2025-11-22 14:39:13.683584
1,1,2023-01-13,149046.24,0.0,0.0,1-2023-01-13,2025-11-22 14:39:13.683479,2025-11-22 14:39:13.683584
1,1,2023-01-14,130668.39,0.0,0.0,1-2023-01-14,2025-11-22 14:39:13.683479,2025-11-22 14:39:13.683584
1,1,2023-01-15,162828.13,0.0,0.0,1-2023-01-15,2025-11-22 14:39:13.683479,2025-11-22 14:39:13.683584
1,1,2023-01-16,133627.24,0.0,0.0,1-2023-01-16,2025-11-22 14:39:13.683479,2025-11-22 14:39:13.683584
1,1,2023-01-17,159745.74,0.0,0.0,1-2023-01-17,2025-11-22 14:39:13.683479,2025-11-22 14:39:13.683584
1,1,2023-01-18,150578.37,0.0,0.0,1-2023-01-18,2025-11-22 14:39:13.683479,2025-11-22 14:39:13.683584
1,1,2023-01-19,138370.61000000002,0.0,0.0,1-2023-01-19,2025-11-22 14:39:13.683479,2025-11-22 14:39:13.683584
1,1,2023-01-20,139205.19,0.0,0.0,1-2023-01-20,2025-11-22 14:39:13.683479,2025-11-22 14:39:13.683584
1,1,2023-01-21,151476.53,0.0,0.0,1-2023-01-21,2025-11-22 14:39:13.683479,2025-11-22 14:39:13.683584
1,1,2023-01-22,162343.46,0.0,0.0,1-2023-01-22,2025-11-22 14:39:13.683479,2025-11-22 14:39:13.683584
1,1,2023-01-23,164538.11000000002,0.0,0.0,1-2023-01-23,2025-11-22 14:39:13.683479,2025-11-22 14:39:13.683584
1,1,2023-01-24,154991.65,0.0,0.0,1-2023-01-24,2025-11-22 14:39:13.683479,2025-11-22 14:39:13.683584
1,1,2023-01-25,157670.5,0.0,0.0,1-2023-01-25,2025-11-22 14:39:13.683479,2025-11-22 14:39:13.683584
1,1,2023-01-26,137875.85,0.0,0.0,1-2023-01-26,2025-11-22 14:39:13.683479,2025-11-22 14:39:13.683584
1,1,2023-01-27,184831.2,0.0,0.0,1-2023-01-27,2025-11-22 14:39:13.683479,2025-11-22 14:39:13.683584
1,1,2023-01-28,151863.25,0.0,0.0,1-2023-01-28,2025-11-22 14:39:13.683479,2025-11-22 14:39:13.683584
1,1,2023-01-29,169332.71,0.0,0.0,1-2023-01-29,2025-11-22 14:39:13.683479,2025-11-22 14:39:13.683584
1,1,2023-01-30,145073.04,0.0,0.0,1-2023-01-30,2025-11-22 14:39:13.683479,2025-11-22 14:39:13.683584
1,1,2023-01-31,162766.44,0.0,0.0,1-2023-01-31,2025-11-22 14:39:13.683479,2025-11-22 14:39:13.683584
1,1,2023-02-01,227915.95,0.0,0.0,1-2023-02-01,2025-11-22 14:39:13.683479,2025-11-22 14:39:13.683584
1,1,2023-02-02,187148.63,0.0,0.0,1-2023-02-02,2025-11-22 14:39:13.683479,2025-11-22 14:39:13.683584
1,1,2023-02-03,222649.61000000002,0.0,0.0,1-2023-02-03,2025-11-22 14:39:13.683479,2025-11-22 14:39:13.683584
1,1,2023-02-04,230641.77,0.0,0.0,1-2023-02-04,2025-11-22 14:39:13.683479,2025-11-22 14:39:13.683584
1,1,2023-02-05,234316.31,0.0,0.0,1-2023-02-05,2025-11-22 14:39:13.683479,2025-11-22 14:39:13.683584
1,1,2023-02-06,198973.38999999998,0.0,0.0,1-2023-02-06,2025-11-22 14:39:13.683479,2025-11-22 14:39:13.683584
1,1,2023-02-07,207915.37,0.0,0.0,1-2023-02-07,2025-11-22 14:39:13.683479,2025-11-22 14:39:13.683584
1,1,2023-02-08,174717.04,0.0,0.0,1-2023-02-08,2025-11-22 14:39:13.683479,2025-11-22 14:39:13.683584
1,1,2023-02-09,189945.27,0.0,0.0,1-2023-02-09,2025-11-22 14:39:13.683479,2025-11-22 14:39:13.683584
1,1,2023-02-10,220047.12,0.0,0.0,1-2023-02-10,2025-11-22 14:39:13.683479,2025-11-22 14:39:13.683584
