sku_mob_key,retailer_product_key,region_key,retailer_key,brand_key,product_key,date_key,gross_sales_ty,gross_sales_fisc_ly,gross_sales_greg_ly,record_created_date,record_updated_date
787d51aa-18b1-4a8a-86da-ea321e12c9d3,fe56714d-ecb1-4415-86fc-47136bdcb92b,102,201,302,PROD_1035,2023-11-18,4338.92,4766.36,4883.73,2025-11-20 22:10:06.982799,2025-11-20 22:10:06.982803
429d49d1-ccf8-40cf-a248-ea84e8ccc84e,a6602fec-cf3a-4dd2-9f78-0b65d16d7e65,104,210,303,PROD_1044,2023-01-11,2047.14,1808.6,1693.78,2025-11-20 22:10:06.982816,2025-11-20 22:10:06.982816
72d31b53-0750-452b-a596-ebb2e4b15faf,25ae7f21-ff05-4e6f-8460-d684dc73c5bc,101,207,303,PROD_1030,2023-06-29,945.69,782.57,1086.12,2025-11-20 22:10:06.982824,2025-11-20 22:10:06.982824
85221bc5-8db4-4a42-a35d-2939ec4604d0,07923d80-d7b9-44fb-a52c-88484379b252,101,203,302,PROD_1017,2023-07-21,4963.83,4481.62,4820.5,2025-11-20 22:10:06.982832,2025-11-20 22:10:06.982832
433911f9-dc5b-4790-9e54-4023418581d2,63056918-2da5-48ee-804d-3232022aec8b,101,207,305,PROD_1009,2023-01-14,1361.27,1170.61,1538.41,2025-11-20 22:10:06.982839,2025-11-20 22:10:06.982839
bd3fc69e-18d2-4d5a-baf8-0b07339c71ed,50d67da1-4731-4820-b906-be766cd94343,103,203,304,PROD_1032,2023-10-02,1277.27,1492.23,1522.25,2025-11-20 22:10:06.982845,2025-11-20 22:10:06.982846
a2caf6cb-f347-4829-8ab0-9628e9342533,96ccbd82-1b91-42f0-85ae-03db52a24d94,105,206,303,PROD_1039,2023-07-07,2522.12,2780.42,2282.32,2025-11-20 22:10:06.982852,2025-11-20 22:10:06.982852
9c912152-06d0-4c53-8bdd-e0bcfe62f51b,9446decf-8f34-49bd-9fdd-7fd59455eec2,104,203,302,PROD_1021,2023-12-03,4851.63,5795.51,3910.49,2025-11-20 22:10:06.982859,2025-11-20 22:10:06.982859
3f8fb7bc-dafa-4f1a-a39e-1de4676bebc6,cd8b7afd-a615-4dd1-9505-2a7b4583b9ed,105,205,303,PROD_1026,2023-12-24,3883.43,4106.72,4552.49,2025-11-20 22:10:06.982865,2025-11-20 22:10:06.982865
00b0f0f5-7167-4d52-b824-1d9895698968,2ab98289-4236-45ab-8d3a-20d1894b8b20,104,205,303,PROD_1011,2023-06-24,4784.78,4186.67,4880.55,2025-11-20 22:10:06.982872,2025-11-20 22:10:06.982872
e2ec6ef9-584a-40f2-bf35-0d70a6f392c6,2328c758-47b1-4d24-b712-a02d68234c3e,105,203,301,PROD_1040,2023-02-17,954.28,856.57,1058.08,2025-11-20 22:10:06.982879,2025-11-20 22:10:06.982879
b3ff8478-c92e-426a-819d-a1b5eafd369c,915da235-d38b-4750-ad47-6c2b08ccc720,103,210,304,PROD_1040,2023-11-26,581.83,589.02,474.96,2025-11-20 22:10:06.982885,2025-11-20 22:10:06.982885
d6967d86-17f6-4aac-a425-0643a19d9013,8d6b9f9b-e775-4f0c-8c67-aceba5b468c0,101,210,302,PROD_1006,2023-01-16,2467.58,2205.52,2140.38,2025-11-20 22:10:06.982892,2025-11-20 22:10:06.982892
73f4f89c-bec5-4229-8d12-d1aab3302b97,3fe08cbf-0a85-428d-b17d-1a7612a2cfef,105,208,302,PROD_1025,2023-01-26,4290.77,3568.23,3820.03,2025-11-20 22:10:06.982898,2025-11-20 22:10:06.982898
e4ee85bd-a0cd-4a53-895e-9104aebe3e1a,e6ade3ba-f36e-4419-98c3-7cb37d07660b,102,209,302,PROD_1015,2023-03-23,651.11,706.53,756.61,2025-11-20 22:10:06.982904,2025-11-20 22:10:06.982905
85ef423b-9ef1-4474-9c01-1fab26f4cec5,a5357210-5f5d-4e33-8dff-8c462ae0ef52,102,207,301,PROD_1009,2023-02-12,213.98,193.97,239.51,2025-11-20 22:10:06.982911,2025-11-20 22:10:06.982912
463e08fc-14b1-4289-8227-02e1e25afa3f,09fec6bd-512e-474f-80a5-dfedab83d75b,103,201,303,PROD_1008,2023-01-20,4703.72,4837.68,4108.36,2025-11-20 22:10:06.982918,2025-11-20 22:10:06.982918
d4d87c9a-3ed9-46df-b6db-b53e17a1d324,21f422e8-97c4-4829-bd47-ab5aee902641,102,210,301,PROD_1006,2023-08-28,2432.41,2175.72,2091.36,2025-11-20 22:10:06.982925,2025-11-20 22:10:06.982925
9afcd304-3f07-45eb-acd8-74609555e3ba,693d13ba-7076-42ab-b55e-e10fe8b93545,103,205,304,PROD_1037,2023-01-19,663.13,698.49,531.16,2025-11-20 22:10:06.982932,2025-11-20 22:10:06.982932
1d468309-2fd3-42b7-b2aa-5e7940886814,20d0069f-49d8-40b5-b64d-3f24270ae304,101,207,302,PROD_1022,2023-11-25,2370.76,2229.97,2480.45,2025-11-20 22:10:06.982938,2025-11-20 22:10:06.982938
aaf89580-f8b0-452b-84f3-5e3c561f8a34,c70a6da1-82ee-4ad9-9e5b-5a6c41c0192b,105,205,303,PROD_1022,2023-10-20,4004.17,4654.24,4333.84,2025-11-20 22:10:06.982944,2025-11-20 22:10:06.982945
5d8858d8-e9ec-4249-841a-4234d10a2eed,4da4b1c9-fb76-4f60-9015-bc7682a1a8e1,103,209,305,PROD_1047,2023-01-22,2534.88,2393.76,2044.35,2025-11-20 22:10:06.982951,2025-11-20 22:10:06.982951
43c9ba88-fed7-49bb-908b-5721f3e08b38,31e1da15-d8ba-431e-9929-a4a57997c862,102,208,301,PROD_1007,2023-10-02,4408.22,5140.86,4805.02,2025-11-20 22:10:06.982958,2025-11-20 22:10:06.982958
557d2ff5-d879-4409-b0f3-3fa6a0e40220,59362094-0e94-43ed-b868-49f8d576d02c,103,204,302,PROD_1029,2023-06-06,1660.22,1575.85,1804.22,2025-11-20 22:10:06.982964,2025-11-20 22:10:06.982965
7cb90921-c781-4908-8bd3-f7b73c41a22d,f085d561-24f0-4fc1-9f2c-b626ffd40bf3,102,206,301,PROD_1011,2023-01-27,4940.23,4609.65,5625.73,2025-11-20 22:10:06.982971,2025-11-20 22:10:06.982971
0caba460-eace-4953-a300-06feecb61e27,29a820e5-694c-49d4-805d-215a2b466863,105,208,301,PROD_1030,2023-12-22,3647.28,2997.27,3569.39,2025-11-20 22:10:06.982977,2025-11-20 22:10:06.982977
31ff6a29-ee0b-4140-ac34-122ff339df94,29fb716d-57f2-4b34-b609-676a0234346d,105,201,303,PROD_1039,2023-03-10,2594.47,2298.84,2292.28,2025-11-20 22:10:06.982983,2025-11-20 22:10:06.982984
2854948b-997f-4c8a-ac29-75e201431e81,ce91edfe-e378-4856-90cc-d996af9a6627,105,205,301,PROD_1006,2023-01-28,3744.1,4449.5,3841.87,2025-11-20 22:10:06.982990,2025-11-20 22:10:06.982990
171eed25-57dc-409a-b478-468202fc831b,6140cc73-50b4-4504-a886-4f6942ebf45e,102,201,301,PROD_1021,2023-06-06,2459.51,2878.14,2942.12,2025-11-20 22:10:06.982996,2025-11-20 22:10:06.982997
b17dafca-84d2-48bc-be98-0b8410981be8,6782a9f1-8e5d-471d-a034-bce1c498f8d2,103,207,303,PROD_1030,2023-03-21,3476.82,3429.49,4143.72,2025-11-20 22:10:06.983003,2025-11-20 22:10:06.983003
faafb560-511d-4e86-a295-0dd97d1dff82,8e7fab10-3ae5-4a91-a927-ed15194d471c,101,207,303,PROD_1019,2023-03-31,2576.43,2140.47,2414.23,2025-11-20 22:10:06.983009,2025-11-20 22:10:06.983009
53ce78ba-48a6-4567-b01c-49d09dd7eb7d,051d369a-d85c-47ae-a42b-98a72f91c32c,104,203,305,PROD_1002,2023-02-27,2777.84,3323.69,2552.82,2025-11-20 22:10:06.983015,2025-11-20 22:10:06.983016
7cb3d4b3-f183-42dc-a116-a0714c038dbb,135a8e6c-b458-4a16-be0f-4a16e220c8b2,103,203,302,PROD_1016,2023-04-28,4179.17,3981.8,3456.95,2025-11-20 22:10:06.983022,2025-11-20 22:10:06.983022
fff630ae-0564-4d75-a1ac-c43004627d08,a0aaf5aa-d57e-4037-8e5d-97c62c764dfa,104,202,301,PROD_1016,2023-08-09,1584.16,1512.84,1535.28,2025-11-20 22:10:06.983029,2025-11-20 22:10:06.983029
54cef733-2926-427c-8919-908561608b88,e2b78d82-d95e-4da0-80a6-641dcd29677c,104,203,304,PROD_1047,2023-02-17,4452.43,4504.49,4879.42,2025-11-20 22:10:06.983035,2025-11-20 22:10:06.983035
022343ef-d98f-46e7-8365-9ffc7a6149dd,10480cc0-24c9-4cfd-86d0-18126e7a6cd8,101,209,301,PROD_1015,2023-10-21,373.45,428.57,388.72,2025-11-20 22:10:06.983042,2025-11-20 22:10:06.983042
aff899a3-c2f0-41e3-87bf-b7fd4c865279,0cc49ffb-0f4a-480d-af44-e99fa41960d6,104,209,303,PROD_1017,2023-09-23,355.84,317.94,388.99,2025-11-20 22:10:06.983048,2025-11-20 22:10:06.983048
f5634c93-f81e-401b-aaf5-aa19fba40d2b,31bbc56c-42f7-447c-8794-c672d87d3631,102,205,303,PROD_1046,2023-05-30,3935.08,4689.17,3351.97,2025-11-20 22:10:06.983054,2025-11-20 22:10:06.983054
cd57a622-bf7c-42d6-ab5e-0c0b0baa5869,408ba8d1-43fd-4ded-86d5-24cccbdc9b6a,102,208,301,PROD_1031,2023-03-19,559.41,578.8,666.5,2025-11-20 22:10:06.983060,2025-11-20 22:10:06.983061
98b0d35c-a9d9-45d8-be11-32c861173ed5,32b26f51-afc3-43d6-8845-0713e5523fc3,103,204,303,PROD_1027,2023-04-17,3326.8,2733.71,3171.04,2025-11-20 22:10:06.983067,2025-11-20 22:10:06.983067
19d8b2fb-7e1f-4277-870d-0c0e6c57b386,9a0bcd4f-0edc-452c-9cca-3416adc6b47d,105,201,301,PROD_1034,2023-01-02,2413.9,2652.23,2349.06,2025-11-20 22:10:06.983073,2025-11-20 22:10:06.983073
84575df3-364f-4899-8461-0c1597d61fac,b8296080-a694-48cb-9638-e0591056dc63,101,207,305,PROD_1026,2023-04-18,4315.05,4647.62,3816.26,2025-11-20 22:10:06.983079,2025-11-20 22:10:06.983079
cedb5555-78ee-4552-bb17-8116ba8371bf,eef7d2d0-3053-4d93-9da5-4c304139509e,101,206,301,PROD_1030,2023-09-22,441.88,384.24,434.89,2025-11-20 22:10:06.983085,2025-11-20 22:10:06.983086
60120147-2157-4c5a-9ddd-2ff43f9f8801,ecc2c6ab-5244-49f9-9771-8f110c04b5f6,104,204,302,PROD_1036,2023-01-29,4198.18,4225.18,3529.0,2025-11-20 22:10:06.983092,2025-11-20 22:10:06.983092
0b258c7a-056a-44b0-91b3-0d20fdc27c4d,1daf20ae-b595-4539-934f-87c4ac224857,103,203,305,PROD_1031,2023-11-29,4051.53,3282.04,4389.08,2025-11-20 22:10:06.983098,2025-11-20 22:10:06.983099
e8370e1b-7890-4dc5-aeff-1516bdd5dfe9,06237f65-2cb3-4fdd-8b8f-34dacd70db9e,105,209,301,PROD_1035,2023-01-31,4718.46,3845.98,4476.36,2025-11-20 22:10:06.983105,2025-11-20 22:10:06.983105
eb44a6a9-5acb-4e72-9779-d910f40fbd37,e2dd86f2-80bb-40f0-8c64-b250ee52eaf9,104,204,305,PROD_1029,2023-01-24,4650.71,4680.07,4564.51,2025-11-20 22:10:06.983111,2025-11-20 22:10:06.983111
9db73c58-2f73-42db-88a8-ee109427535c,a5b7e6a8-45fe-477f-b555-b570e880df58,101,202,305,PROD_1029,2023-12-08,4335.17,4794.58,5146.73,2025-11-20 22:10:06.983117,2025-11-20 22:10:06.983118
f4f8b297-12fc-4f68-8baa-bc79c26f396d,a3f91d07-5c8d-48f0-92e8-6c7946f3d56c,105,204,301,PROD_1024,2023-10-27,3967.06,3732.88,3946.67,2025-11-20 22:10:06.983124,2025-11-20 22:10:06.983124
b5655e7f-4987-48b4-b86a-db24ca2f6c04,574f5ada-d0e4-472b-a0e9-034ec1804121,103,205,305,PROD_1046,2023-03-29,2548.59,2947.56,2220.28,2025-11-20 22:10:06.983130,2025-11-20 22:10:06.983131
1dd34100-bc4b-426a-ae5a-dfdf8cde75c2,daa3162c-bd4a-4339-8cbe-d4f608ebf62c,103,208,302,PROD_1024,2023-09-11,4860.98,5725.18,4734.9,2025-11-20 22:10:06.983137,2025-11-20 22:10:06.983137
5d954bd7-a835-4008-bd61-9560432f3cd1,339ae01a-30fe-45f3-acb2-d2b9cd00434b,103,208,305,PROD_1045,2023-08-15,883.79,954.03,940.77,2025-11-20 22:10:06.983143,2025-11-20 22:10:06.983143
2cdbf3ea-22b8-4019-8373-ef6e8fdf7c2c,389cc242-e5e5-4f9f-8e43-80e80fd3300c,101,205,305,PROD_1045,2023-09-28,2652.21,2995.84,2334.1,2025-11-20 22:10:06.983149,2025-11-20 22:10:06.983149
8f80f5e5-ed18-44b6-b7f1-796320c64b60,07a8b561-d3a4-4736-a2e9-e376af6b5f76,101,207,305,PROD_1023,2023-05-01,1461.42,1217.94,1225.62,2025-11-20 22:10:06.983156,2025-11-20 22:10:06.983156
87469d53-5bff-42fb-9b83-e197d557d661,4d0ebc9b-3354-49fa-8e26-491f3a29c931,103,209,302,PROD_1012,2023-06-17,4170.2,3587.16,4502.25,2025-11-20 22:10:06.983162,2025-11-20 22:10:06.983162
0c2744d1-e947-49fd-b7c3-cac51ad1062a,aa6732d5-f4b1-45f6-bc6a-7fa418befabe,105,202,304,PROD_1026,2023-04-25,2281.21,2146.78,2468.97,2025-11-20 22:10:06.983168,2025-11-20 22:10:06.983169
