date,sku_id,retailer,metric_name,metric_value
2025-10-15,SKU003,Target,cvr,3.627275971219276
2025-10-16,SKU003,Target,cvr,3.5326320764237695
2025-10-17,SKU003,Target,cvr,3.609273129792513
2025-10-18,SKU003,Target,cvr,3.5306721274263118
2025-10-19,SKU003,Target,cvr,3.588998370730212
2025-10-20,SKU003,Target,cvr,3.625907279787226
2025-10-21,SKU003,Target,cvr,3.5641396372053022
2025-10-22,SKU003,Target,cvr,3.5390441873466427
2025-10-23,SKU003,Target,cvr,3.532202745116547
2025-10-24,SKU003,Target,cvr,3.55375812124722
2025-10-25,SKU003,Target,cvr,3.6306532355620678
2025-10-26,SKU003,Target,cvr,3.577891469067773
2025-10-27,SKU003,Target,cvr,3.6217190461664224
2025-10-28,SKU003,Target,cvr,3.5365080006686065
2025-10-29,SKU003,Target,cvr,3.6432553848474307
2025-10-30,SKU003,Target,cvr,3.526631367257549
2025-10-31,SKU003,Target,cvr,3.6485696353142494
2025-11-01,SKU003,Target,cvr,3.5217362392959006
2025-11-02,SKU003,Target,cvr,3.5743282312670543
2025-11-03,SKU003,Target,cvr,3.625351525722703
2025-11-04,SKU003,Target,cvr,3.5426005007396126
2025-11-05,SKU003,Target,cvr,2.4185456572081248
2025-11-06,SKU003,Target,cvr,2.2477307470310115
2025-11-07,SKU003,Target,cvr,2.286996985819156
2025-11-08,SKU003,Target,cvr,2.304572801266647
2025-11-09,SKU003,Target,cvr,2.7047927019514493
2025-11-10,SKU003,Target,cvr,2.813976596331214
2025-11-11,SKU003,Target,cvr,2.7602182607752304
2025-11-12,SKU003,Target,cvr,2.739509539491248
2025-11-13,SKU003,Target,cvr,2.8529176310001074
